Oil_and_Gas_Company_Name;Month;Average_Registration_Time;Average_Update_Profile_Time;Number_of_Certificate_Issued
Petro Power EP;2023-01-01;3;9;147
Petro Power EP;2023-02-01;5;2;115
Petro Power EP;2023-03-01;4;7;108
Petro Power EP;2023-04-01;5;4;115
Petro Power EP;2023-05-01;3;5;124
Petro Power EP;2023-06-01;3;8;90
Petro Power EP;2023-07-01;5;1;84
Petro Power EP;2023-08-01;2;5;106
Petro Power EP;2023-09-01;2;9;121
Petro Power EP;2023-10-01;2;10;141
Petro Power EP;2023-11-01;3;2;105
Energy Source EP;2023-01-01;5;4;225
Energy Source EP;2023-02-01;4;3;218
Energy Source EP;2023-03-01;4;4;230
Energy Source EP;2023-04-01;3;10;210
Energy Source EP;2023-05-01;4;9;213
Energy Source EP;2023-06-01;2;6;206
Energy Source EP;2023-07-01;1;10;201
Energy Source EP;2023-08-01;4;1;199
Energy Source EP;2023-09-01;5;1;210
Energy Source EP;2023-10-01;3;5;214
Energy Source EP;2023-11-01;4;4;207
Gas Innovators Ltd.;2023-01-01;1;8;143
Gas Innovators Ltd.;2023-02-01;1;2;150
Gas Innovators Ltd.;2023-03-01;4;4;98
Gas Innovators Ltd.;2023-04-01;3;9;132
Gas Innovators Ltd.;2023-05-01;1;9;134
Gas Innovators Ltd.;2023-06-01;2;2;78
Gas Innovators Ltd.;2023-07-01;5;1;75
Gas Innovators Ltd.;2023-08-01;5;9;75
Gas Innovators Ltd.;2023-09-01;3;5;122
Gas Innovators Ltd.;2023-10-01;5;5;137
Gas Innovators Ltd.;2023-11-01;1;2;91
Oil Dynamics Ltd.;2023-01-01;4;4;52
Oil Dynamics Ltd.;2023-02-01;5;7;60
Oil Dynamics Ltd.;2023-03-01;2;6;70
Oil Dynamics Ltd.;2023-04-01;5;10;68
Oil Dynamics Ltd.;2023-05-01;3;4;57
Oil Dynamics Ltd.;2023-06-01;5;2;65
Oil Dynamics Ltd.;2023-07-01;4;2;61
Oil Dynamics Ltd.;2023-08-01;4;1;51
Oil Dynamics Ltd.;2023-09-01;4;4;65
Oil Dynamics Ltd.;2023-10-01;1;5;64
Oil Dynamics Ltd.;2023-11-01;4;7;55
Fuel Fusion  Ltd.;2023-01-01;3;3;71
Fuel Fusion  Ltd.;2023-02-01;2;8;68
Fuel Fusion  Ltd.;2023-03-01;4;7;77
Fuel Fusion  Ltd.;2023-04-01;3;3;61
Fuel Fusion  Ltd.;2023-05-01;3;1;71
Fuel Fusion  Ltd.;2023-06-01;4;4;73
Fuel Fusion  Ltd.;2023-07-01;2;1;66
Fuel Fusion  Ltd.;2023-08-01;3;8;71
Fuel Fusion  Ltd.;2023-09-01;3;3;78
Fuel Fusion  Ltd.;2023-10-01;1;6;76
Fuel Fusion  Ltd.;2023-11-01;1;4;70
Petro Tech  EP;2023-01-01;4;9;180
Petro Tech  EP;2023-02-01;4;10;185
Petro Tech  EP;2023-03-01;2;4;159
Petro Tech  EP;2023-04-01;5;9;166
Petro Tech  EP;2023-05-01;1;3;202
Petro Tech  EP;2023-06-01;5;10;156
Petro Tech  EP;2023-07-01;5;8;190
Petro Tech  EP;2023-08-01;2;9;189
Petro Tech  EP;2023-09-01;1;9;175
Petro Tech  EP;2023-10-01;1;10;165
Petro Tech  EP;2023-11-01;1;3;187
Gas Solutions  Ltd.;2023-01-01;4;2;141
Gas Solutions  Ltd.;2023-02-01;4;1;139
Gas Solutions  Ltd.;2023-03-01;3;5;120
Gas Solutions  Ltd.;2023-04-01;4;10;156
Gas Solutions  Ltd.;2023-05-01;3;2;149
Gas Solutions  Ltd.;2023-06-01;5;2;157
Gas Solutions  Ltd.;2023-07-01;1;5;129
Gas Solutions  Ltd.;2023-08-01;5;3;134
Gas Solutions  Ltd.;2023-09-01;5;5;154
Gas Solutions  Ltd.;2023-10-01;1;9;151
Gas Solutions  Ltd.;2023-11-01;2;9;125
Energy Ventures  Ltd.;2023-01-01;2;7;63
Energy Ventures  Ltd.;2023-02-01;3;2;53
Energy Ventures  Ltd.;2023-03-01;3;1;68
Energy Ventures  Ltd.;2023-04-01;4;4;68
Energy Ventures  Ltd.;2023-05-01;3;10;52
Energy Ventures  Ltd.;2023-06-01;5;6;76
Energy Ventures  Ltd.;2023-07-01;2;8;68
Energy Ventures  Ltd.;2023-08-01;1;5;41
Energy Ventures  Ltd.;2023-09-01;2;6;55
Energy Ventures  Ltd.;2023-10-01;3;9;51
Energy Ventures  Ltd.;2023-11-01;5;9;69
Oil Quest  Ltd.;2023-01-01;2;5;70
Oil Quest  Ltd.;2023-02-01;3;7;68
Oil Quest  Ltd.;2023-03-01;3;7;55
Oil Quest  Ltd.;2023-04-01;3;10;40
Oil Quest  Ltd.;2023-05-01;5;3;41
Oil Quest  Ltd.;2023-06-01;4;3;56
Oil Quest  Ltd.;2023-07-01;3;9;47
Oil Quest  Ltd.;2023-08-01;3;10;60
Oil Quest  Ltd.;2023-09-01;1;6;60
Oil Quest  Ltd.;2023-10-01;4;3;63
Oil Quest  Ltd.;2023-11-01;3;9;42
PetroWave  Ltd.;2023-01-01;5;9;76
PetroWave  Ltd.;2023-02-01;4;8;99
PetroWave  Ltd.;2023-03-01;5;3;76
PetroWave  Ltd.;2023-04-01;5;1;96
PetroWave  Ltd.;2023-05-01;4;10;105
PetroWave  Ltd.;2023-06-01;5;7;69
PetroWave  Ltd.;2023-07-01;1;8;64
PetroWave  Ltd.;2023-08-01;2;7;84
PetroWave  Ltd.;2023-09-01;2;5;64
PetroWave  Ltd.;2023-10-01;1;4;86
PetroWave  Ltd.;2023-11-01;5;4;78
Gas Nexus  Ltd.;2023-01-01;2;8;101
Gas Nexus  Ltd.;2023-02-01;4;9;124
Gas Nexus  Ltd.;2023-03-01;3;1;116
Gas Nexus  Ltd.;2023-04-01;5;3;104
Gas Nexus  Ltd.;2023-05-01;3;2;91
Gas Nexus  Ltd.;2023-06-01;2;1;136
Gas Nexus  Ltd.;2023-07-01;3;2;129
Gas Nexus  Ltd.;2023-08-01;4;2;94
Gas Nexus  Ltd.;2023-09-01;1;10;134
Gas Nexus  Ltd.;2023-10-01;4;8;97
Gas Nexus  Ltd.;2023-11-01;2;7;140
Fuel Masters  EP;2023-01-01;3;2;144
Fuel Masters  EP;2023-02-01;2;9;186
Fuel Masters  EP;2023-03-01;3;1;180
Fuel Masters  EP;2023-04-01;3;7;129
Fuel Masters  EP;2023-05-01;3;5;132
Fuel Masters  EP;2023-06-01;2;6;122
Fuel Masters  EP;2023-07-01;1;5;129
Fuel Masters  EP;2023-08-01;2;4;152
Fuel Masters  EP;2023-09-01;2;6;143
Fuel Masters  EP;2023-10-01;2;1;128
Fuel Masters  EP;2023-11-01;4;2;131
Energy Axis  Ltd.;2023-01-01;5;7;120
Energy Axis  Ltd.;2023-02-01;4;7;97
Energy Axis  Ltd.;2023-03-01;4;3;104
Energy Axis  Ltd.;2023-04-01;3;10;100
Energy Axis  Ltd.;2023-05-01;2;4;106
Energy Axis  Ltd.;2023-06-01;2;4;120
Energy Axis  Ltd.;2023-07-01;2;8;108
Energy Axis  Ltd.;2023-08-01;3;3;103
Energy Axis  Ltd.;2023-09-01;1;4;91
Energy Axis  Ltd.;2023-10-01;3;10;106
Energy Axis  Ltd.;2023-11-01;2;6;108
Oil Dynamics  Ltd.;2023-01-01;5;7;58
Oil Dynamics  Ltd.;2023-02-01;4;4;49
Oil Dynamics  Ltd.;2023-03-01;4;9;57
