Oil_and_Gas_Company_Name;Verification_per_Month;Daily_Workload
Petro Power EP;250;12
Energy Source EP;440;20
Gas Innovators Ltd.;175;8
Oil Dynamics Ltd.;22;1
Fuel Fusion  Ltd.;0;0
Petro Tech  EP;350;16
Gas Solutions  Ltd.;330;15
Energy Ventures  Ltd.;0;0
Oil Quest  Ltd.;0;0
PetroWave  Ltd.;0;0
Gas Nexus  Ltd.;270;13
Fuel Masters  EP;350;16
Energy Axis  Ltd.;108;5
Oil Dynamics  Ltd.;22;1
PetroPulse EP;230;11
PetroNusa EP;280;13
FuelCraft  Ltd.;22;1
Energy Edge EP;0;0
OilLink  Ltd.  Ltd.;0;0
PetroCrest  Ltd.;22;1
Gas Nexus Ltd.;0;0
FuelGenius EP;220;10
Energy Sphere  Ltd.;32;2
Oil Optics Ltd.;30;2
PetroWise Ltd. ;0;0
Gas Dynamics Ltd.;20;1
Fuel Fusion  Ltd.;0;0
Energy Pulse EP;22;1
Oil Innovators  Ltd.;22;1
PetroSynergy  Ltd.;0;0

