No,Alias,Year,Number of Yellow Sanctions,Number of Red Sanctions,Number of Black Sanction,
1,IndoTech Solutions,2019,8,4,3,
,,2020,1,3,1,
,,2021,7,1,0,
,,2022,8,3,3,
,,2023,0,1,0,
2,MegaBuild Services,2019,7,1,2,
,,2020,8,4,0,
,,2021,6,1,1,
,,2022,6,1,3,
,,2023,2,4,3,
3,ProFab Indo,2019,7,1,4,
,,2020,5,0,0,
,,2021,4,3,4,
,,2022,2,0,1,
,,2023,1,3,1,
4,EnergiPlus,2019,2,4,2,
,,2020,6,3,2,
,,2021,2,1,0,
,,2022,5,0,4,
,,2023,0,3,3,
5,IndoCraft Builders,2019,4,3,3,
,,2020,5,3,1,
,,2021,2,4,1,
,,2022,5,0,2,
,,2023,5,3,4,
6,EquiPro Engineers,2019,4,4,2,
,,2020,3,2,0,
,,2021,6,1,3,
,,2022,8,2,2,
,,2023,6,0,1,
7,IndoConstruct,2019,2,3,3,
,,2020,6,3,4,
,,2021,4,4,0,
,,2022,5,2,4,
,,2023,1,2,2,
8,EliteFabric,2019,6,3,2,
,,2020,2,2,1,
,,2021,1,0,3,
,,2022,8,1,3,
,,2023,6,1,0,
9,IndoFacilitech,2019,6,1,0,
,,2020,6,0,4,
,,2021,3,0,3,
,,2022,7,1,3,
,,2023,8,1,3,
10,GlobalWorks Indo,2019,3,2,3,
,,2020,6,1,2,
,,2021,5,3,2,
,,2022,4,2,1,
,,2023,4,3,2,
11,PowerCore Services,2019,6,2,1,
,,2020,4,0,3,
,,2021,3,0,2,
,,2022,8,0,2,
,,2023,1,4,2,
12,IndoStructure,2019,0,2,0,
,,2020,5,3,2,
,,2021,2,2,1,
,,2022,7,3,4,
,,2023,2,2,0,
13,BuildMasters,2019,5,2,1,
,,2020,8,3,4,
,,2021,1,4,0,
,,2022,7,3,0,
,,2023,2,4,2,
14,ProTech Fabric,2019,1,0,3,
,,2020,8,4,2,
,,2021,3,2,2,
,,2022,8,2,3,
,,2023,2,4,3,
15,IndoFacility,2019,8,4,4,
,,2020,7,2,4,
,,2021,8,1,2,
,,2022,3,4,3,
,,2023,4,3,3,
16,GreenTech Indo,2019,1,1,0,
,,2020,5,0,2,
,,2021,0,4,3,
,,2022,4,4,3,
,,2023,2,2,2,
17,AgileBuild,2019,7,4,4,
,,2020,3,1,1,
,,2021,1,4,1,
,,2022,0,2,1,
,,2023,6,3,3,
18,IndoFusion,2019,3,2,0,
,,2020,6,4,2,
,,2021,5,2,1,
,,2022,4,2,1,
,,2023,0,3,3,
19,ExcelCraft,2019,5,0,1,
,,2020,3,1,0,
,,2021,1,2,4,
,,2022,8,3,4,
,,2023,7,0,3,
20,Maximize Indo,2019,2,0,0,
,,2020,0,4,1,
,,2021,6,0,0,
,,2022,4,2,4,
,,2023,3,2,3,
21,QuickFix Engineers,2019,4,1,2,
,,2020,7,3,0,
,,2021,5,4,3,
,,2022,6,2,0,
,,2023,1,1,0,
22,IndoCrafters,2019,6,1,4,
,,2020,0,1,3,
,,2021,0,4,1,
,,2022,4,4,0,
,,2023,4,2,1,
23,QuantumBuild,2019,2,2,2,
,,2020,2,3,1,
,,2021,5,2,4,
,,2022,2,2,3,
,,2023,7,0,3,
24,ModernFab Indo,2019,5,2,0,
,,2020,0,3,0,
,,2021,1,0,4,
,,2022,8,0,3,
,,2023,3,2,4,
25,FacilityPlus,2019,7,1,3,
,,2020,2,4,2,
,,2021,1,4,2,
,,2022,6,1,1,
,,2023,0,1,2,
26,IndoMatrix Works,2019,8,3,0,
,,2020,5,0,4,
,,2021,1,4,2,
,,2022,5,3,0,
,,2023,4,3,2,
27,PrimeEngineers,2019,0,1,1,
,,2020,8,0,1,
,,2021,2,4,1,
,,2022,4,1,0,
,,2023,6,2,2,
28,IndoConserve,2019,2,1,0,
,,2020,2,4,2,
,,2021,1,1,1,
,,2022,2,3,4,
,,2023,1,4,1,
29,MaxPro Construction,2019,8,3,0,
,,2020,0,1,4,
,,2021,4,1,2,
,,2022,2,0,2,
,,2023,8,4,1,
30,SwiftFab,2019,1,1,3,
,,2020,1,2,2,
,,2021,3,1,2,
,,2022,3,1,2,
,,2023,5,2,0,
31,PowerServ Indo,2019,6,1,2,
,,2020,3,2,4,
,,2021,3,2,0,
,,2022,6,2,0,
,,2023,1,0,0,
32,RockSolid Engineers,2019,6,3,2,
,,2020,3,1,4,
,,2021,2,0,3,
,,2022,3,2,4,
,,2023,1,4,1,
33,IndoModaBuild,2019,4,0,3,
,,2020,4,4,2,
,,2021,7,2,2,
,,2022,0,2,1,
,,2023,7,3,0,
34,Craftopia Services,2019,8,4,0,
,,2020,0,2,3,
,,2021,3,2,1,
,,2022,3,2,3,
,,2023,5,0,4,
35,IndoStructura,2019,3,1,4,
,,2020,3,2,3,
,,2021,8,4,1,
,,2022,6,2,0,
,,2023,2,3,3,
36,UrbanBuilders,2019,2,0,1,
,,2020,1,2,2,
,,2021,1,1,2,
,,2022,6,4,2,
,,2023,1,0,3,
37,IndoFiberFab,2019,6,1,4,
,,2020,1,4,0,
,,2021,3,2,2,
,,2022,4,4,2,
,,2023,1,1,3,
38,FacilityMasters,2019,6,3,2,
,,2020,0,4,3,
,,2021,2,3,3,
,,2022,0,4,4,
,,2023,3,0,2,
39,Innovate Indo,2019,5,1,1,
,,2020,0,1,3,
,,2021,2,0,1,
,,2022,6,1,3,
,,2023,7,2,1,
40,SpeedyTech Works,2019,7,2,4,
,,2020,0,3,3,
,,2021,2,4,1,
,,2022,3,0,0,
,,2023,7,0,2,
,,,,,,
,,,,,,
41,EquiCrafters,,,,,
42,IndoEcoBuild,,,,,
43,ProBuild Services,,,,,
44,FacilityWave Indo,,,,,
45,IndoInnovators,,,,,
46,PreciseFab,,,,,
47,SmartTech Engineers,,,,,
48,IndoPrimeCraft,,,,,
49,BuildReady,,,,,
50,FastFab Indo,,,,,
51,EcoPro Facility,,,,,
52,MasterTech Services,,,,,
53,IndoConstructa,,,,,
54,QuantumFab,,,,,
55,FacilityCare Indo,,,,,
56,InnovateBuilders,,,,,
57,IndoProFabric,,,,,
58,AgileTech Works,,,,,
59,CraftFusion Indo,,,,,
60,MaxiCore Engineers,,,,,
61,IndoGreenBuild,,,,,
62,AdvancedFab,,,,,
63,SmartServ Facilities,,,,,
64,IndoPowerTech,,,,,
65,UltimateBuild,,,,,
66,CraftMax Indo,,,,,
67,EquiStructura,,,,,
68,IndoCare Services,,,,,
69,EnergiWave Indo,,,,,
70,MasterProCraft,,,,,
71,FastTech Indo,,,,,
72,ModernMasters,,,,,
73,IndoExcelFab,,,,,
74,QuickFix Facilities,,,,,
75,UrbanTech Works,,,,,
76,QuantumBuilders Indo,,,,,
77,PowerCraft Services,,,,,
