No,Oil_and_Gas_Company,Procurement_Type,Procurement Title,Description,Start_Date,End_Date,Attachment
9,Petro Tech EP,Jasa,Time Charter Harbour Tugboat Services,"Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰Time Charter Harbour Tugboat Services). untuk menunjang kegiatan operasi di blok Jabung, Propinsi Jambi, Sumatera.",2023-12-06,2023-12-13,PCJ-2794-CA.pdf
11,Energy Ventures Ltd.,Jasa,"CRA Tubular Handling, Equipment and Services","Calon Peserta Tender diminta untuk mengajukan proposal yang mencakup jasa „‰CRA Tubular Handling, Equipment and Services°¬ untuk menunjang kegiatan operasi pemboran PERUSAHAAN di blok Jabung, Jambi.",2023-12-06,2023-12-13,Re-tender PCJ-2793-CA.pdf
8,Fuel Fusion Ltd.,Jasa,Purchase of OCTG of Sirasun batur Development Well,Perusahan bermaksud untuk melakukan pembelian atas barang-barang OCTG untuk kegiatan pengeboran sumur-sumur pengembangan Sirasun Batur,2023-12-04,2023-12-11,0001-Revisi.pdf
32,PetroWave Ltd.,Barang,HEO AND TRANSPORT LABOUR SUPPORT SERVICES,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰HEO and Transport Labour Support Services °¬.,2023-11-06,2023-11-13,PCJ-2767-CA.pdf
41,Gas Solutions Ltd.,Jasa,Provision of Catering and Housekeeping Services,"Lingkup Pekerjaan:
Premier Oil membutuhkan jasa Kontraktor yang berkualitas dan dapat diandalkan untuk menyelenggarakan jasa katering, housekeeping, laundry dan layanan pengendalian hama di lokasi le",2023-11-06,2023-11-13,WO #33.pdf
44,PetroWave Ltd.,Jasa,"Handling of Oily Sludge and Oil Contaminated Soil at NG Sludge Pond, Jabung Block, Jambi Province",Calon Peserta Tender diminta untuk mengajukan proposal jasa kegiatan pengelolaan sludge berminyak dan tanah terkontaminasi minyak yang ditampung di NG Sludge Pond untuk jangka waktu selama 3 Tahun.,2023-11-06,2023-11-13,PCJ-2757-CAPengumuman Iklan CIVD.pdf
47,Energy Axis Ltd.,Jasa,Integrated Data Storage Services,Perusahaan membutuhkan Jasa jasa pekerjaan Offsite data storage dan Management,2023-11-06,2023-11-13,0201.OCT.2016.pdf
18,Oil Dynamics Ltd.,Jasa,Tender PT Medco E&amp;P Indonesia dan PT Medco E&amp;P Rimau,"Tender No. SM63416, MJ337707, BF10167",2023-11-06,2023-11-13,Iklan HU Kontan 16 Desember 2016 SM63416 MJ337707 BF10167.pdf
20,Gas Innovators Ltd.,Jasa,Provision of Conductor and Big Casing Supply,"Lingkup Pekerjaan: Premier Oil membutuhkan fabrikan dan/atau agen dari fabrikan untuk pengadaan Conductor Casing dan Big Casing (OCTG), beserta asesoris dan jasa-jasa pendukungnya.",2023-11-06,2023-11-13,WO #34 - Conductor Casing.pdf
22,Petro Power EP,Barang,DECANTING SPENT MOLECULAR SIEVE ADSORBENT AND RE-LOADING FRESH ADSORBENT INTO MOLECULAR SIEVE TOWERS 615-V-204-A/B,Calon Peserta Tender diminta untuk mengajukan proposal jasa yang mencakup jasa „‰DECANTING SPENT MOLECULAR SIEVE ADSORBENT AND RE-LOADING FRESH ADSORBENT INTO MOLECULAR SIEVE TOWERS 615-V-204-A/B°¬,2023-11-06,2023-11-13,PCJ-2779 -CA.pdf
